Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev., Artifacts
HTTP Request,1558052,0,0,1,1,3,0,26,0.00%,1997.8,193.0,0.71,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628754"
HTTP Request,1637698,0,0,1,1,3,0,30,0.00%,2099.9,202.9,0.72,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628763"
HTTP Request,1642906,0,0,1,1,3,0,29,0.00%,2106.6,203.6,0.74,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628764"
HTTP Request,1592243,0,0,1,1,3,0,38,0.00%,2041.7,197.3,0.75,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628765"
HTTP Request,1631874,0,0,1,1,3,0,37,0.00%,2092.5,202.2,0.74,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628766"
HTTP Request,1629275,0,0,1,1,3,0,59,0.00%,2089.1,201.9,0.75,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628767"
HTTP Request,1654887,0,0,1,1,3,0,157,0.00%,2121.9,205.0,0.73,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628768"
HTTP Request,1677162,0,0,1,1,3,0,1012,0.00%,2150.5,207.8,1.06,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628769"
HTTP Request,1674906,0,0,1,1,3,0,79,0.00%,2147.7,207.5,0.72,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628770"
HTTP Request,1657106,0,0,1,1,3,0,1034,0.00%,2124.8,205.3,1.34,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628755"
HTTP Request,1610695,0,0,1,1,3,0,25,0.00%,2065.3,199.6,0.73,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628756"
HTTP Request,1625590,0,0,1,1,3,0,192,0.00%,2084.4,201.4,0.74,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628757"
HTTP Request,1653684,0,0,1,1,3,0,26,0.00%,2120.4,204.9,0.72,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628758"
HTTP Request,1625201,0,0,1,1,3,0,27,0.00%,2083.9,201.4,0.72,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628759"
HTTP Request,1651134,0,0,1,1,3,0,84,0.00%,2117.2,204.6,0.72,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628760"
HTTP Request,1655135,0,0,1,1,3,0,113,0.00%,2122.2,205.1,0.72,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628761"
HTTP Request,1676288,0,0,1,1,3,0,25,0.00%,2149.4,207.7,0.70,"https://github.com/xlight05/ballerina-performance-cloud/suites/4384898585/artifacts/115628762"
