Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,793815,0,1,1,1,3,0,45,0.00%,1017.9,98.4,0.53
HTTP Request,808806,0,1,1,1,3,0,206,0.00%,1037.1,100.2,0.68
HTTP Request,810586,0,1,1,1,3,0,53,0.00%,1039.4,100.4,0.56
HTTP Request,642606,1,1,2,2,4,0,209,0.00%,824.0,79.6,0.73
HTTP Request,671602,1,1,2,2,4,0,62,0.00%,861.2,83.2,0.64
HTTP Request,633854,1,1,2,2,4,0,210,0.00%,812.7,78.5,0.75
HTTP Request,781405,0,1,1,1,3,0,208,0.00%,1001.9,96.8,0.83
HTTP Request,634018,1,1,2,2,4,0,211,0.00%,812.9,78.6,1.12
HTTP Request,774514,0,1,1,1,3,0,209,0.00%,993.1,96.0,0.97
HTTP Request,780879,0,1,1,1,3,0,209,0.00%,1001.3,96.8,0.64
HTTP Request,626746,1,1,2,2,4,0,1020,0.00%,803.6,77.7,1.85
HTTP Request,597481,1,1,2,2,4,1,211,0.00%,766.1,74.0,1.47
HTTP Request,633544,1,1,2,2,4,0,1014,0.00%,812.4,78.5,1.49
HTTP Request,621265,1,1,2,2,4,1,1013,0.00%,796.6,77.0,1.72
HTTP Request,607459,1,1,2,2,4,0,210,0.00%,778.9,75.3,1.14
