Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,3642091,0,0,1,1,1,0,11,0.00%,4669.9,451.3,0.40
HTTP Request,3692214,0,0,1,1,1,0,10,0.00%,4734.1,457.5,0.40
HTTP Request,3648498,0,0,1,1,1,0,10,0.00%,4678.1,452.0,0.40
HTTP Request,3670049,0,0,1,1,1,0,10,0.00%,4705.7,454.7,0.40
HTTP Request,3670809,0,0,1,1,1,0,11,0.00%,4706.7,454.8,0.40
HTTP Request,3672674,0,0,1,1,1,0,10,0.00%,4709.1,455.0,0.40
HTTP Request,3593458,0,0,1,1,1,0,15,0.00%,4607.5,445.2,0.41
HTTP Request,3641696,0,0,1,1,1,0,15,0.00%,4669.3,451.2,0.40
HTTP Request,3687904,0,0,1,1,1,0,180,0.00%,4728.6,456.9,0.42
HTTP Request,3669870,0,0,1,1,1,0,68,0.00%,4705.5,454.7,0.40
HTTP Request,3563328,0,0,1,1,1,0,14,0.00%,4568.9,441.5,0.41
