Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,9844967,6,4,15,19,29,0,212,0.00%,9117.4,1370.7,6.37,1630278195,50,60
HTTP Request,12736918,5,1,3,67,80,0,1009,0.00%,11795.8,1773.4,16.77,1631096473,0,60
HTTP Request,9736673,6,1,4,78,84,0,190,0.00%,9017.2,1355.7,19.66,1631488164,0,60
HTTP Request,9496608,6,1,4,79,84,0,1085,0.00%,8794.7,1322.2,19.98,1632092859,0,60
HTTP Request,8466294,7,2,4,78,81,1,1095,0.00%,7840.6,1178.8,20.36,1632697784,0,60
HTTP Request,8264409,7,2,4,77,82,1,1089,0.00%,7653.6,1150.7,20.57,1633302890,0,60
HTTP Request,11389267,5,1,3,71,77,0,1096,0.00%,10547.5,1585.7,16.94,1633907752,0,60
HTTP Request,8610622,7,2,4,77,81,1,101,0.00%,7974.2,1198.9,20.13,1635722084,0,60
HTTP Request,9319347,6,2,4,76,80,0,1081,0.00%,8630.6,1297.5,19.19,1636326937,0,60
HTTP Request,11183355,5,1,3,71,77,1,1095,0.00%,10357.6,1557.2,16.98,1636932034,0,60
