Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Latency(usec), Bandwidth(MBps)
HTTP Request,7926987,0,0,0,1,1,0,10,0.00%,10163.7,615.4,0.29, 39.656, 1412.154
HTTP Request,10866754,0,0,0,1,1,0,7,0.00%,13932.9,843.6,0.24, 28.960, 1411.461
HTTP Request,10364964,0,0,0,1,1,0,22,0.00%,13289.6,804.6,0.25, 30.385, 1411.235
HTTP Request,7956521,0,0,0,1,1,0,206,0.00%,10201.5,617.7,0.30, 39.643, 1413.150
HTTP Request,7975168,0,0,0,1,1,0,208,0.00%,10225.5,619.1,0.30, 39.966, 1561.304
HTTP Request,7915734,0,0,0,1,1,0,9,0.00%,10149.2,614.5,0.29, 39.855, 1597.866
HTTP Request,10399197,0,0,0,1,1,0,22,0.00%,13333.4,807.3,0.25, 30.247, 1558.608
HTTP Request,8023975,0,0,0,1,1,0,53,0.00%,10288.1,622.9,0.29, 39.226, 1564.750
HTTP Request,7958701,0,0,0,1,1,0,207,0.00%,10204.4,617.8,0.30,40.788, 1605.715
HTTP Request,10427470,0,0,0,1,1,0,205,0.00%,13369.7,809.5,0.26, 30.183, 1707.357
HTTP Request,7990895,0,0,0,1,1,0,6,0.00%,10245.6,620.3,0.29, 39.560, 1571.575
HTTP Request,7987486,0,0,0,1,1,0,17,0.00%,10241.2,620.1,0.29, 40.086, 1417.344
HTTP Request,7982705,0,0,0,1,1,0,13,0.00%,10235.1,619.7,0.29, 40.104, 1415.205
HTTP Request,10289166,0,0,0,1,1,0,6,0.00%,13192.4,798.8,0.25, 31.153, 1410.544
HTTP Request,10383784,0,0,0,1,1,0,208,0.00%,13313.8,806.1,0.26, 30.544, 1419.691
